id,sender_id,receiver_id,amount,start_time,max_fee_limit,end_time,mpp,is_shard,parent_payment_id,shard1_id,shard2_id,is_success,is_rolledback,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee,attempts_history
937,3423,2031,1304403,278285,2305843009213693951,280492,0,1,927,-1,-1,0,1,0,0,0,1,29494-21232-15819,1003,"[{""attempts"":1,""is_succeeded"":1,""end_time"":280492,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":29494,""from_node_id"":3423,""to_node_id"":130,""sent_amt"":1305406,""edge_cap"":1080914,""channel_cap"":85586000,""group_cap"":null,""channel_update"":85586000},{""edge_id"":21232,""from_node_id"":130,""to_node_id"":1324,""sent_amt"":1305404,""edge_cap"":389999876,""channel_cap"":4000000000,""group_cap"":null,""channel_update"":4000000000},{""edge_id"":15819,""from_node_id"":1324,""to_node_id"":2031,""sent_amt"":1304403,""edge_cap"":898197164,""channel_cap"":1000001000,""group_cap"":null,""channel_update"":1000001000}]}]"
938,1005,4535,2620412,279822,4611686018427387903,280625,1,1,928,942,943,0,0,0,0,0,1,"",0,
939,1005,4535,2620412,279822,4611686018427387903,280625,1,1,928,944,945,0,0,0,0,0,1,"",0,
940,1005,4535,2620412,279822,4611686018427387903,281430,1,1,929,946,947,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":281430,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":5934,""from_node_id"":1005,""to_node_id"":925,""sent_amt"":2622442,""edge_cap"":1747975,""channel_cap"":200000000,""group_cap"":null,""channel_update"":200000000},{""edge_id"":5231,""from_node_id"":925,""to_node_id"":63,""sent_amt"":2621440,""edge_cap"":277654831,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000},{""edge_id"":588,""from_node_id"":63,""to_node_id"":194,""sent_amt"":2621438,""edge_cap"":237277011,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":44367,""from_node_id"":194,""to_node_id"":4535,""sent_amt"":2620412,""edge_cap"":5917312794,""channel_cap"":5999040000,""group_cap"":null,""channel_update"":5999040000}]}]"
941,1005,4535,2620412,279822,4611686018427387903,281429,1,1,929,948,949,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":281429,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":5934,""from_node_id"":1005,""to_node_id"":925,""sent_amt"":2622442,""edge_cap"":1747975,""channel_cap"":200000000,""group_cap"":null,""channel_update"":200000000},{""edge_id"":5231,""from_node_id"":925,""to_node_id"":63,""sent_amt"":2621440,""edge_cap"":277654831,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000},{""edge_id"":588,""from_node_id"":63,""to_node_id"":194,""sent_amt"":2621438,""edge_cap"":237277011,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":44367,""from_node_id"":194,""to_node_id"":4535,""sent_amt"":2620412,""edge_cap"":5917312794,""channel_cap"":5999040000,""group_cap"":null,""channel_update"":5999040000}]}]"
942,1005,4535,1310206,279822,2305843009213693951,281430,0,1,938,-1,-1,0,0,0,0,0,1,,,
943,1005,4535,1310206,279822,2305843009213693951,281430,0,1,938,-1,-1,0,0,0,0,0,1,,,
944,1005,4535,1310206,279822,2305843009213693951,281430,0,1,939,-1,-1,0,0,0,0,0,1,,,
945,1005,4535,1310206,279822,2305843009213693951,282236,0,1,939,-1,-1,0,1,0,0,0,1,5934-5231-588-44367,2015,"[{""attempts"":1,""is_succeeded"":1,""end_time"":282236,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":5934,""from_node_id"":1005,""to_node_id"":925,""sent_amt"":1312221,""edge_cap"":431754,""channel_cap"":200000000,""group_cap"":null,""channel_update"":200000000},{""edge_id"":5231,""from_node_id"":925,""to_node_id"":63,""sent_amt"":1311220,""edge_cap"":276341611,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000},{""edge_id"":588,""from_node_id"":63,""to_node_id"":194,""sent_amt"":1311219,""edge_cap"":235963792,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":44367,""from_node_id"":194,""to_node_id"":4535,""sent_amt"":1310206,""edge_cap"":5916002588,""channel_cap"":5999040000,""group_cap"":null,""channel_update"":5999040000}]}]"
946,1005,4535,1310206,279822,2305843009213693951,282232,0,1,940,-1,-1,0,1,0,0,0,1,5934-5231-588-44367,2015,"[{""attempts"":1,""is_succeeded"":1,""end_time"":282232,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":5934,""from_node_id"":1005,""to_node_id"":925,""sent_amt"":1312221,""edge_cap"":431754,""channel_cap"":200000000,""group_cap"":null,""channel_update"":200000000},{""edge_id"":5231,""from_node_id"":925,""to_node_id"":63,""sent_amt"":1311220,""edge_cap"":276341611,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000},{""edge_id"":588,""from_node_id"":63,""to_node_id"":194,""sent_amt"":1311219,""edge_cap"":235963792,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":44367,""from_node_id"":194,""to_node_id"":4535,""sent_amt"":1310206,""edge_cap"":5916002588,""channel_cap"":5999040000,""group_cap"":null,""channel_update"":5999040000}]}]"
